GEOID,year,pct_depression,pct_poor_mh_days
20049,2019,21.0,16.9
20049,2023,23.4,19.3
20051,2019,19.1,14.6
20051,2023,20.7,17.1
20053,2019,17.9,13.9
20053,2023,19.5,16.6
20055,2019,16.7,14.1
20055,2023,18.1,17.0
20057,2019,16.7,14.1
20057,2023,17.9,16.6
20061,2019,17.8,14.6
20061,2023,20.7,18.1
20073,2019,20.3,15.8
20073,2023,23.1,18.9
20075,2019,17.4,14.1
20075,2023,18.9,16.1
20077,2019,20.5,16.0
20077,2023,23.2,19.0
20079,2019,18.5,13.8
20079,2023,21.5,17.1
20083,2019,18.7,13.6
20083,2023,20.4,16.4
20085,2019,20.2,15.0
20085,2023,22.1,18.0
20095,2019,19.6,14.0
20095,2023,22.5,18.0
20097,2019,19.9,14.7
20097,2023,22.0,17.3
20111,2019,18.8,14.4
20111,2023,21.5,17.7
20115,2019,19.5,14.5
20115,2023,22.4,17.6
20119,2019,18.9,14.5
20119,2023,21.2,17.5
20125,2019,21.1,16.2
20125,2023,22.9,19.2
20129,2019,18.4,14.6
20129,2023,21.0,17.9
20131,2019,19.4,14.3
20131,2023,22.0,17.4
20133,2019,21.0,16.1
20133,2023,22.0,18.6
20137,2019,18.4,14.4
20137,2023,21.3,17.7
20149,2019,19.1,13.7
20149,2023,20.5,16.5
20151,2019,19.5,14.3
20151,2023,22.0,17.5
20155,2019,20.9,15.1
20155,2023,23.2,17.7
20159,2019,20.0,14.6
20159,2023,21.2,17.3
20161,2019,19.2,14.3
20161,2023,21.9,16.9
20163,2019,20.3,15.2
20163,2023,23.0,17.5
20167,2019,20.7,15.4
20167,2023,22.7,19.1
20169,2019,19.7,14.1
20169,2023,21.7,17.6
20175,2019,16.8,14.8
20175,2023,17.6,16.7
20177,2019,20.4,14.4
20177,2023,24.0,16.8
20181,2019,18.7,13.9
20181,2023,21.4,17.7
20185,2019,19.9,14.8
20185,2023,21.9,17.5
20197,2019,18.8,13.7
20197,2023,21.5,17.2
20201,2019,19.0,15.0
20201,2023,21.3,17.4
20205,2019,20.9,16.4
20205,2023,23.0,18.8
20207,2019,21.0,16.8
20207,2023,22.7,18.3
21013,2019,30.4,23.3
21025,2019,29.6,21.6
21051,2019,29.2,22.7
21071,2019,30.4,21.6
21095,2019,30.2,22.7
21115,2019,29.2,19.8
21119,2019,29.8,21.7
21121,2019,28.3,22.0
21131,2019,29.6,22.3
21133,2019,29.0,21.5
21147,2019,26.9,21.6
21153,2019,28.8,21.7
21159,2019,26.2,18.7
21189,2019,29.0,20.9
21193,2019,28.6,20.5
21195,2019,28.9,20.4
21203,2019,27.8,19.9
21235,2019,28.3,19.4
21237,2019,31.2,22.7
22003,2019,24.1,18.4
22003,2023,27.6,21.2
22011,2019,25.5,18.6
22011,2023,29.5,20.9
22017,2019,23.6,18.4
22017,2023,27.6,20.8
22019,2019,24.2,18.3
22019,2023,28.1,19.8
22023,2019,26.5,18.8
22023,2023,29.6,20.4
22043,2019,24.6,18.6
22043,2023,27.2,20.7
22069,2019,24.2,20.0
22069,2023,28.2,21.3
22073,2019,24.6,18.8
22073,2023,26.2,20.6
22079,2019,24.6,18.7
22079,2023,28.2,21.1
22105,2019,25.9,19.3
22105,2023,26.7,21.3
22115,2019,24.0,17.8
22115,2023,27.4,20.4
24019,2019,18.9,15.8
24019,2023,21.6,19.1
24039,2019,19.1,17.3
24039,2023,21.1,18.9
26001,2019,24.9,18.3
26001,2023,29.3,20.0
26043,2019,24.2,16.7
26043,2023,29.7,19.4
26135,2019,25.9,19.3
26135,2023,30.2,21.4
27001,2019,22.7,14.4
27001,2023,26.8,17.8
27027,2019,22.1,12.8
27027,2023,25.9,16.4
27029,2019,23.1,15.0
27029,2023,26.5,18.6
27031,2019,20.4,12.6
27031,2023,24.9,15.9
27069,2019,21.6,13.2
27069,2023,25.6,16.9
27075,2019,22.0,12.9
27075,2023,25.5,17.1
27087,2019,24.2,18.1
27087,2023,27.9,21.5
27089,2019,21.5,13.3
27089,2023,25.3,17.1
27097,2019,22.0,13.9
27097,2023,25.9,17.1
27111,2019,21.1,12.8
27111,2023,25.4,17.1
27135,2019,21.2,13.1
27135,2023,24.6,17.1
27153,2019,21.9,14.2
27153,2023,26.0,17.8
28005,2019,22.0,18.6
28005,2023,20.9,20.0
28031,2019,22.8,18.7
28031,2023,19.9,18.6
28035,2019,22.4,17.1
28035,2023,20.6,18.1
28041,2019,21.8,17.1
28041,2023,20.0,18.2
28043,2019,22.3,17.8
28043,2023,20.1,18.9
28045,2019,23.3,17.2
28045,2023,21.1,18.0
28047,2019,23.6,17.2
28047,2023,21.6,18.2
28059,2019,21.2,16.3
28059,2023,20.4,17.6
28071,2019,21.5,15.4
28071,2023,20.0,16.6
28073,2019,22.3,15.9
28073,2023,21.7,16.8
28083,2019,19.6,19.6
28083,2023,18.0,19.5
28091,2019,23.8,19.4
28091,2023,21.3,19.4
28097,2019,21.4,18.6
28097,2023,20.0,19.6
28109,2019,23.3,17.4
28109,2023,22.1,18.6
28111,2019,24.0,19.3
28111,2023,22.2,19.5
28131,2019,23.9,18.4
28131,2023,21.6,18.4
28137,2019,23.2,17.6
28137,2023,20.5,18.1
28147,2019,22.7,19.3
28147,2023,20.3,19.4
28153,2019,22.5,18.0
28153,2023,20.6,19.6
28161,2019,21.6,18.1
28161,2023,20.7,19.7
29015,2019,25.5,18.1
29015,2023,27.3,20.0
29017,2019,26.6,18.8
29017,2023,27.6,20.5
29029,2019,24.6,16.5
29029,2023,25.8,18.8
29035,2019,25.0,17.7
29035,2023,28.3,21.5
29043,2019,23.5,15.5
29043,2023,25.5,17.8
29059,2019,25.7,18.3
29059,2023,27.5,20.7
29065,2019,26.1,18.7
29065,2023,26.2,20.1
29075,2019,24.9,17.2
29075,2023,26.2,19.8
29079,2019,24.7,17.3
29079,2023,27.1,20.4
29085,2019,25.9,18.5
29085,2023,28.5,22.1
29091,2019,26.1,18.6
29091,2023,28.1,21.0
29103,2019,25.3,18.0
29103,2023,26.9,20.9
29115,2019,25.1,17.3
29115,2023,26.7,19.8
29119,2019,24.5,18.9
29119,2023,27.3,21.4
29125,2019,25.2,17.5
29125,2023,26.9,20.0
29129,2019,24.0,16.5
29129,2023,27.4,20.4
29179,2019,25.9,18.6
29179,2023,27.5,20.9
29213,2019,24.6,16.7
29213,2023,25.8,19.2
30001,2019,23.0,14.4
30001,2023,25.6,18.4
30003,2019,24.8,19.2
30003,2023,25.6,22.9
30005,2019,24.0,18.5
30005,2023,25.2,21.1
30007,2019,23.6,14.8
30007,2023,24.7,18.4
30009,2019,23.6,14.0
30009,2023,25.2,18.0
30011,2019,24.8,15.5
30011,2023,26.1,19.5
30013,2019,25.6,15.5
30013,2023,28.1,20.0
30017,2019,24.0,15.2
30017,2023,25.2,18.4
30019,2019,23.2,14.5
30019,2023,24.7,18.5
30021,2019,22.4,14.6
30021,2023,24.5,18.4
30023,2019,24.9,16.5
30023,2023,26.0,19.6
30025,2019,23.9,14.5
30025,2023,25.1,19.2
30027,2019,23.0,15.0
30027,2023,25.1,18.7
30029,2019,23.4,14.7
30029,2023,25.0,17.2
30031,2019,21.8,12.9
30031,2023,22.4,16.3
30033,2019,24.6,15.8
30033,2023,26.6,19.5
30035,2019,26.4,20.1
30035,2023,26.0,23.7
30039,2019,23.6,14.6
30039,2023,24.7,18.7
