event_time,year,estimate,se,pvalue,ci_lo,ci_hi,threshold,label,outcome,rucc_group,stars
1,2016,-0.11457241261185251,0.0774900205014317,0.15127602196788303,-0.26645285279465863,0.0373080275709536,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_suicide_rate,metro,
2,2017,0.06092568942388226,0.09900529420682878,0.5436544956358214,-0.13312468722150214,0.25497606606926665,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_suicide_rate,metro,
3,2018,-0.27633600647032464,0.22083279488976731,0.22195438265389444,-0.7091682844542686,0.15649627151361928,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_suicide_rate,metro,
4,2019,0.1669781296558399,0.2320825436865101,0.47826464137893476,-0.2879036559697199,0.6218599152813997,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_suicide_rate,metro,
-4,2011,7.909407631144032e-4,0.34154411075206287,0.9981699543002795,-0.6686355163109289,0.6702173978371576,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_overdose_rate,metro,
-3,2012,-0.029677831416682086,0.3464087191947853,0.9323828055387993,-0.7086389210384613,0.649283258205097,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_overdose_rate,metro,
-2,2013,0.07893730349002559,0.2205333501835375,0.7232792013836616,-0.3533080628697079,0.511182669849759,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_overdose_rate,metro,
0,2015,0.2351200461827844,0.2532880377141408,0.3618049633077134,-0.2613245077369316,0.7315646001025004,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_overdose_rate,metro,
1,2016,0.20376848860610586,0.24545345263880838,0.4139998835590968,-0.2773202785659586,0.6848572557781702,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_overdose_rate,metro,
2,2017,0.008002813155039389,0.13103247161372714,0.9517665166666728,-0.24882083120786577,0.26482645751794454,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_overdose_rate,metro,
3,2018,-0.0398519441492771,0.1702283981247907,0.8167342847263641,-0.3734996044738669,0.29379571617531264,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_overdose_rate,metro,
4,2019,0.17264810517723916,0.23588883318366136,0.4707731239422588,-0.2896940078627371,0.6349902182172154,T2_large_5k_metro,"T2 ≥5,000 ac metro",ihs_overdose_rate,metro,
-4,2011,0.6598614585717916,0.546238252832482,0.2349193667440633,-0.41076551697987307,1.730488434123456,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_suicide_rate,nonmetro,
-3,2012,-0.3004266610435185,0.36592790946954273,0.41705026076010077,-1.0176453636038223,0.41679204151678523,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_suicide_rate,nonmetro,
-2,2013,1.0723025555509986,0.5149491969150607,0.044477606788751414,0.06300212959747964,2.081602981504518,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_suicide_rate,nonmetro,*
0,2015,0.17852525712520775,0.4595238247321961,0.6999338292710754,-0.7221414393498966,1.079191953600312,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_suicide_rate,nonmetro,
1,2016,0.42154337769050926,0.3134680941758649,0.18711038147812756,-0.19285408689418598,1.0359408422752046,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_suicide_rate,nonmetro,
2,2017,0.7180586822037586,0.37628319475990535,0.06435269374301732,-0.01945637952565593,1.455573743933173,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_suicide_rate,nonmetro,.
3,2018,0.7789049948701399,0.38065107211359117,0.048089173555757835,0.03282889352750118,1.5249810962127786,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_suicide_rate,nonmetro,*
4,2019,0.46793512007953497,0.22199546322352542,0.042071288333420394,0.032824012161425165,0.9030462279976448,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_suicide_rate,nonmetro,*
-4,2011,0.7908679209667072,0.46960315644527467,0.10081123075651377,-0.12955426566603112,1.7112901075994456,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_overdose_rate,nonmetro,
-3,2012,-0.4054731212403115,0.24535320353911638,0.10710687950036847,-0.8863654001769796,0.0754191576963566,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_overdose_rate,nonmetro,
-2,2013,1.0389295395399272,0.4946554713717698,0.04277110888512014,0.06940481565125844,2.008454263428596,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_overdose_rate,nonmetro,*
0,2015,0.24284575518222537,0.3984835838264328,0.5460702466218016,-0.5381820691175828,1.0238735794820335,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_overdose_rate,nonmetro,
1,2016,0.2819132878213907,0.5414691614660162,0.605801710125253,-0.779366268652001,1.3431928442947823,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_overdose_rate,nonmetro,
2,2017,0.6758077612847199,0.49239722746205206,0.17840356589787026,-0.28929080454090217,1.640906327110342,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_overdose_rate,nonmetro,
3,2018,0.4470121784317359,0.4259171053446409,0.30092983603077944,-0.3877853480437602,1.2818097049072321,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_overdose_rate,nonmetro,
4,2019,0.5961444490527638,0.3478088268502071,0.09512796167820112,-0.08556085157364213,1.2778497496791696,T2_large_5k_nonmetro,"T2 ≥5,000 ac nonmetro",ihs_overdose_rate,nonmetro,.
-4,2011,0.5034004736289384,0.6848660757437164,0.48103167799921986,-0.8389370348287457,1.8457379820866224,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_suicide_rate,metro,
-3,2012,0.7618341744635228,0.7367612056370935,0.3281058588196126,-0.6822177885851805,2.205886137512226,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_suicide_rate,metro,
-2,2013,0.3434673738556736,0.6051471100357597,0.5842008259651364,-0.8426209618144155,1.5295557095257628,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_suicide_rate,metro,
0,2015,0.5688224966749514,0.6986434045815454,0.4365526260960949,-0.8005185763048775,1.9381635696547805,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_suicide_rate,metro,
1,2016,-0.03731165823989101,0.12768276174159912,0.7767416354639028,-0.2875698712534253,0.21294655477364327,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_suicide_rate,metro,
2,2017,-0.08081466495594615,0.124080974853394,0.5311255132372188,-0.3240133756685984,0.16238404575670612,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_suicide_rate,metro,
3,2018,-0.16480379920207353,0.12770172132115037,0.22903065121297903,-0.4150991729915282,0.08549157458738119,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_suicide_rate,metro,
4,2019,0.5894715890859847,0.7920229882979735,0.47570122377837,-0.9628934679780432,2.1418366461500127,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_suicide_rate,metro,
-4,2011,0.46583330052150357,0.6711573286663772,0.5051544666669855,-0.8496350636645957,1.781301664707603,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_overdose_rate,metro,
-3,2012,0.5574716924456051,0.6515167700333279,0.41438885862105745,-0.7195011768197175,1.8344445617109277,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_overdose_rate,metro,
-2,2013,0.35113036522717805,0.6209463541136022,0.5855689712910284,-0.8659244888354822,1.5681852192898382,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_overdose_rate,metro,
0,2015,0.5349948101995962,0.7226957703397159,0.47799844090035903,-0.881488899666247,1.9514785200654394,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_overdose_rate,metro,
1,2016,0.6456563207849705,0.7235069103701431,0.39541293545232126,-0.7724172235405101,2.063729865110451,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_overdose_rate,metro,
2,2017,0.033595414579307994,0.23015785563319455,0.8871646060045948,-0.4175139824617533,0.48470481162036927,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_overdose_rate,metro,
3,2018,0.14391980710223412,0.3348321879240183,0.6774294351766916,-0.5123512812288418,0.8001908954333099,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_overdose_rate,metro,
4,2019,0.6685591639635947,0.7452212876637777,0.39301564914194875,-0.7920745598574096,2.129192887784599,T3_verylarge_25k_metro,"T3 ≥25,000 ac metro",ihs_overdose_rate,metro,
-4,2011,-0.005384922752005746,0.6297287582377828,0.9932663789896035,-1.23965328889806,1.2288834433940485,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_suicide_rate,nonmetro,
-3,2012,0.024032728491135313,0.04210541651245823,0.5748413163575321,-0.058493887873282815,0.10655934485555345,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_suicide_rate,nonmetro,
-2,2013,-0.35935141472825904,0.4399194054811361,0.42413442042156424,-1.221593449471286,0.5028906200147677,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_suicide_rate,nonmetro,
0,2015,0.06213007304327321,0.04210516433805174,0.15643360840099044,-0.020396049059308197,0.14465619514585462,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_suicide_rate,nonmetro,
1,2016,-0.34630985211021964,0.39075554603762985,0.3865591935197904,-1.1121907223439742,0.41957101812353487,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_suicide_rate,nonmetro,
2,2017,-0.3390041695244474,0.41849699121998135,0.4279400622175782,-1.1592582723156108,0.481249933266716,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_suicide_rate,nonmetro,
3,2018,0.49439918833986335,0.3832732857287999,0.21255197514516844,-0.2568164516885844,1.245614828368311,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_suicide_rate,nonmetro,
4,2019,0.10785371969997873,0.06831744683762828,0.13090597009448893,-0.02604847610177269,0.24175591550173015,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_suicide_rate,nonmetro,
-4,2011,-0.00632975268259512,0.5723009192277749,0.9912907397629721,-1.128039554369034,1.1153800490038437,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_overdose_rate,nonmetro,
-3,2012,0.35686196056841185,0.4527348682414086,0.4402829207876422,-0.530498381184749,1.2442223023215726,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_overdose_rate,nonmetro,
-2,2013,-0.049193113135048455,0.07913139755841293,0.5415511845594708,-0.2042906523495378,0.1059044260794409,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_overdose_rate,nonmetro,
0,2015,0.4966731358664397,0.4499536705087532,0.2834504489373409,-0.3852360583307165,1.3785823300635958,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_overdose_rate,nonmetro,
1,2016,-0.7866667224071479,0.5709903914065928,0.18430119669047912,-1.9058078895640698,0.33247444474977395,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_overdose_rate,nonmetro,
2,2017,0.1813564695810262,0.611105800166204,0.7698637022962663,-1.0164108987447336,1.3791238379067858,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_overdose_rate,nonmetro,
3,2018,0.8716501250768085,0.5892970252429313,0.15549320832244962,-0.28337204439933683,2.026672294552954,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_overdose_rate,nonmetro,
4,2019,0.06836025728017187,0.08856368663153047,0.44968200025620964,-0.10522456851762785,0.24194508307797158,T3_verylarge_25k_nonmetro,"T3 ≥25,000 ac nonmetro",ihs_overdose_rate,nonmetro,
