event_time,estimate,se,pvalue,ci_lo,ci_hi,threshold,outcome
2,-0.11265568961668723,0.20581523507839034,0.5841292191075922,-0.5160535503703323,0.29074217113695777,T2_large_5k,ihs_suicide_rate
3,0.11835935655189085,0.24205202360804717,0.6248536391340729,-0.35606260971988163,0.5927813228236634,T2_large_5k,ihs_suicide_rate
4,0.10896287064954399,0.37444488314059426,0.7710525252906877,-0.6249491003060207,0.8428748416051087,T2_large_5k,ihs_suicide_rate
-4,-0.12003670202367067,0.21051622654978197,0.5685409297303983,-0.5326485060612434,0.29257510201390197,T2_large_5k,ihs_overdose_rate
-3,-0.02300958012330306,0.16962225414725124,0.8920964787097805,-0.3554691982519155,0.30945003800530935,T2_large_5k,ihs_overdose_rate
-2,0.12657695571737682,0.13364172408862732,0.3435692241982181,-0.13536082349633272,0.38851473493108635,T2_large_5k,ihs_overdose_rate
-1,0,NA,NA,NA,NA,T2_large_5k,ihs_overdose_rate
0,-0.0457304987782532,0.13972027292215053,0.7434407031201882,-0.31958223370566824,0.22812123614916185,T2_large_5k,ihs_overdose_rate
1,-0.015591958029296254,0.14928367889121144,0.9168160845262573,-0.3081879686560707,0.2770040525974782,T2_large_5k,ihs_overdose_rate
2,-0.058459086657834974,0.22774101277625802,0.797417257580206,-0.5048314716993006,0.38791329838363076,T2_large_5k,ihs_overdose_rate
3,0.13660139117801434,0.2672613869160198,0.6092703041396221,-0.38723092717738444,0.6604337095334132,T2_large_5k,ihs_overdose_rate
4,0.2363673988917789,0.4008075061905241,0.5553730370467973,-0.5492153132416483,1.021950111025206,T2_large_5k,ihs_overdose_rate
-4,-0.1506772896163914,0.10980463435943472,0.16999163305535278,NA,NA,T2_large_5k_TWFE,ihs_suicide_rate
-3,-0.10490254546740865,0.09671578434620257,0.27807775463068607,NA,NA,T2_large_5k_TWFE,ihs_suicide_rate
-2,0.022558473871150887,0.09103000654456053,0.8042786297623661,NA,NA,T2_large_5k_TWFE,ihs_suicide_rate
0,-0.10047474412539226,0.09217673530274756,0.27570309589948894,NA,NA,T2_large_5k_TWFE,ihs_suicide_rate
1,-0.11034713613125925,0.08757693890087666,0.2076685667697857,NA,NA,T2_large_5k_TWFE,ihs_suicide_rate
2,-0.1160441840777669,0.11341803954701558,0.30623477478407235,NA,NA,T2_large_5k_TWFE,ihs_suicide_rate
3,-0.03467444179114258,0.11010905126051845,0.7528299855593017,NA,NA,T2_large_5k_TWFE,ihs_suicide_rate
4,0.07763395439542822,0.1585256786856088,0.6243286587460882,NA,NA,T2_large_5k_TWFE,ihs_suicide_rate
-4,-0.11907677995139018,0.12232184475368581,0.33031922017054965,NA,NA,T2_large_5k_TWFE,ihs_overdose_rate
-3,0.03794704331217463,0.10771965235091266,0.724631319601847,NA,NA,T2_large_5k_TWFE,ihs_overdose_rate
-2,0.09527852161943745,0.09973415824930615,0.3394134351358725,NA,NA,T2_large_5k_TWFE,ihs_overdose_rate
0,-0.06023335409955505,0.09907437702510888,0.5432133620628584,NA,NA,T2_large_5k_TWFE,ihs_overdose_rate
1,-0.043621405989123604,0.08835556135891603,0.6215159439863356,NA,NA,T2_large_5k_TWFE,ihs_overdose_rate
2,-0.07591150141459296,0.12764408129741414,0.552035818219965,NA,NA,T2_large_5k_TWFE,ihs_overdose_rate
3,-0.020202494250637793,0.13681018496169067,0.8826047416887173,NA,NA,T2_large_5k_TWFE,ihs_overdose_rate
4,0.15096480552359567,0.14993147448466984,0.3139866662014422,NA,NA,T2_large_5k_TWFE,ihs_overdose_rate
-4,0.216792710528495,0.2597722383030396,0.40397158155928503,-0.2923608765454625,0.7259462976024526,T3_verylarge_25k,ihs_suicide_rate
-3,0.17117369164141416,0.18017388591036362,0.34208828176983846,-0.18196712474289856,0.5243145080257269,T3_verylarge_25k,ihs_suicide_rate
-2,0.17143849139757736,0.17961028025853165,0.3398292603159,-0.1805976579091447,0.5234746407042994,T3_verylarge_25k,ihs_suicide_rate
